GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Married-couple family:,Margin of Error; Married-couple family:,Estimate; Married-couple family: - With own children under 18 years:,Margin of Error; Married-couple family: - With own children under 18 years:,Estimate; Married-couple family: - With own children under 18 years: - Under 6 years only,Margin of Error; Married-couple family: - With own children under 18 years: - Under 6 years only,Estimate; Married-couple family: - With own children under 18 years: - Under 6 years and 6 to 17 years,Margin of Error; Married-couple family: - With own children under 18 years: - Under 6 years and 6 to 17 years,Estimate; Married-couple family: - With own children under 18 years: - 6 to 17 years only,Margin of Error; Married-couple family: - With own children under 18 years: - 6 to 17 years only,Estimate; Married-couple family: - No own children under 18 years,Margin of Error; Married-couple family: - No own children under 18 years,Estimate; Other family:,Margin of Error; Other family:,"Estimate; Other family: - Male householder, no wife present:","Margin of Error; Other family: - Male householder, no wife present:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years:","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years only","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - 6 to 17 years only","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years","Margin of Error; Other family: - Male householder, no wife present: - No own children under 18 years","Estimate; Other family: - Female householder, no husband present:","Margin of Error; Other family: - Female householder, no husband present:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years:","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years only","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - 6 to 17 years only","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years","Margin of Error; Other family: - Female householder, no husband present: - No own children under 18 years"
1500000US510131003001,510131003001,"Block Group 1, Census Tract 1003, Arlington County, Virginia",466,79,452,80,195,73,18,29,0,12,177,78,257,74,14,21,14,21,0,12,0,12,0,12,0,12,14,21,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510131003002,510131003002,"Block Group 2, Census Tract 1003, Arlington County, Virginia",409,83,388,82,188,61,13,22,47,53,128,64,200,64,21,34,0,12,0,12,0,12,0,12,0,12,0,12,21,34,21,34,0,12,0,12,21,34,0,12
1500000US510131003003,510131003003,"Block Group 3, Census Tract 1003, Arlington County, Virginia",368,72,296,74,170,69,19,29,66,63,85,65,126,50,72,61,0,12,0,12,0,12,0,12,0,12,0,12,72,61,39,47,0,12,0,12,39,47,33,41
1500000US510131003004,510131003004,"Block Group 4, Census Tract 1003, Arlington County, Virginia",166,70,166,70,58,42,0,12,11,18,47,42,108,79,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510131003005,510131003005,"Block Group 5, Census Tract 1003, Arlington County, Virginia",207,72,207,72,129,67,70,52,0,12,59,39,78,44,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510131004001,510131004001,"Block Group 1, Census Tract 1004, Arlington County, Virginia",384,54,351,64,188,57,25,25,21,20,142,54,163,53,33,28,17,19,0,12,0,12,0,12,0,12,17,19,16,20,0,12,0,12,0,12,0,12,16,20
1500000US510131004002,510131004002,"Block Group 2, Census Tract 1004, Arlington County, Virginia",321,50,269,58,131,49,38,34,48,28,45,32,138,56,52,53,0,12,0,12,0,12,0,12,0,12,0,12,52,53,9,14,0,12,0,12,9,14,43,51
1500000US510131004003,510131004003,"Block Group 3, Census Tract 1004, Arlington County, Virginia",385,66,366,68,202,64,45,32,54,40,103,52,164,54,19,21,11,16,0,12,0,12,0,12,0,12,11,16,8,13,8,13,0,12,0,12,8,13,0,12
1500000US510131005001,510131005001,"Block Group 1, Census Tract 1005, Arlington County, Virginia",347,73,301,74,158,66,52,47,14,22,92,48,143,56,46,28,18,20,0,12,0,12,0,12,0,12,18,20,28,27,22,26,0,12,0,12,22,26,6,9
1500000US510131005002,510131005002,"Block Group 2, Census Tract 1005, Arlington County, Virginia",203,56,194,54,89,49,15,22,0,12,74,46,105,41,9,14,0,12,0,12,0,12,0,12,0,12,0,12,9,14,9,14,0,12,0,12,9,14,0,12
1500000US510131005003,510131005003,"Block Group 3, Census Tract 1005, Arlington County, Virginia",296,58,272,55,118,43,20,25,24,27,74,35,154,50,24,24,9,15,0,12,0,12,0,12,0,12,9,15,15,18,15,18,4,7,0,12,11,17,0,12
1500000US510131005004,510131005004,"Block Group 4, Census Tract 1005, Arlington County, Virginia",338,99,291,96,192,91,20,22,117,101,55,45,99,38,47,41,41,39,18,20,7,11,0,12,11,17,23,36,6,9,6,9,0,12,0,12,6,9,0,12
1500000US510131006001,510131006001,"Block Group 1, Census Tract 1006, Arlington County, Virginia",297,77,224,67,104,41,11,17,18,22,75,40,120,66,73,61,45,60,0,12,0,12,0,12,0,12,45,60,28,33,12,19,0,12,0,12,12,19,16,28
