GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - 1-person household,Margin of Error; Owner occupied: - 1-person household,Estimate; Owner occupied: - 2-person household,Margin of Error; Owner occupied: - 2-person household,Estimate; Owner occupied: - 3-person household,Margin of Error; Owner occupied: - 3-person household,Estimate; Owner occupied: - 4-person household,Margin of Error; Owner occupied: - 4-person household,Estimate; Owner occupied: - 5-person household,Margin of Error; Owner occupied: - 5-person household,Estimate; Owner occupied: - 6-person household,Margin of Error; Owner occupied: - 6-person household,Estimate; Owner occupied: - 7-or-more person household,Margin of Error; Owner occupied: - 7-or-more person household,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - 1-person household,Margin of Error; Renter occupied: - 1-person household,Estimate; Renter occupied: - 2-person household,Margin of Error; Renter occupied: - 2-person household,Estimate; Renter occupied: - 3-person household,Margin of Error; Renter occupied: - 3-person household,Estimate; Renter occupied: - 4-person household,Margin of Error; Renter occupied: - 4-person household,Estimate; Renter occupied: - 5-person household,Margin of Error; Renter occupied: - 5-person household,Estimate; Renter occupied: - 6-person household,Margin of Error; Renter occupied: - 6-person household,Estimate; Renter occupied: - 7-or-more person household,Margin of Error; Renter occupied: - 7-or-more person household
1500000US510131012003,510131012003,"Block Group 3, Census Tract 1012, Arlington County, Virginia",262,52,253,56,43,44,74,35,36,30,66,35,34,26,0,12,0,12,9,15,0,12,0,12,0,12,9,15,0,12,0,12,0,12
1500000US510131013001,510131013001,"Block Group 1, Census Tract 1013, Arlington County, Virginia",324,55,304,60,67,52,107,55,73,49,57,54,0,12,0,12,0,12,20,30,0,12,0,12,0,12,0,12,20,30,0,12,0,12
1500000US510131013002,510131013002,"Block Group 2, Census Tract 1013, Arlington County, Virginia",327,59,259,73,107,53,46,42,48,44,36,41,22,34,0,12,0,12,68,55,35,38,18,29,15,26,0,12,0,12,0,12,0,12
1500000US510131013003,510131013003,"Block Group 3, Census Tract 1013, Arlington County, Virginia",284,49,264,51,40,36,77,50,62,43,65,39,20,31,0,12,0,12,20,30,0,12,0,12,20,30,0,12,0,12,0,12,0,12
1500000US510131013004,510131013004,"Block Group 4, Census Tract 1013, Arlington County, Virginia",425,83,216,73,61,46,106,55,38,42,0,12,0,12,11,18,0,12,209,78,21,32,30,34,25,29,115,85,0,12,0,12,18,31
1500000US510131013005,510131013005,"Block Group 5, Census Tract 1013, Arlington County, Virginia",507,85,364,89,156,83,110,63,41,40,57,46,0,12,0,12,0,12,143,84,0,12,47,40,32,36,0,12,0,12,64,70,0,12
1500000US510131013006,510131013006,"Block Group 6, Census Tract 1013, Arlington County, Virginia",435,65,369,81,66,47,89,56,79,50,93,67,20,32,22,33,0,12,66,56,0,12,38,41,14,24,14,24,0,12,0,12,0,12
1500000US510131014011,510131014011,"Block Group 1, Census Tract 1014.01, Arlington County, Virginia",747,67,272,84,127,62,115,56,16,15,0,12,14,12,0,12,0,12,475,90,257,89,154,66,40,42,11,17,13,20,0,12,0,12
1500000US510131014021,510131014021,"Block Group 1, Census Tract 1014.02, Arlington County, Virginia",362,102,122,71,0,12,61,64,45,55,0,12,16,17,0,12,0,12,240,85,126,68,15,14,68,58,31,27,0,12,0,12,0,12
1500000US510131014022,510131014022,"Block Group 2, Census Tract 1014.02, Arlington County, Virginia",314,86,221,91,118,89,55,35,24,30,15,25,9,15,0,12,0,12,93,48,42,38,45,29,6,12,0,12,0,12,0,12,0,12
1500000US510131014023,510131014023,"Block Group 3, Census Tract 1014.02, Arlington County, Virginia",689,105,375,105,280,108,68,43,0,12,17,22,10,16,0,12,0,12,314,101,158,92,84,56,72,48,0,12,0,12,0,12,0,12
1500000US510131014031,510131014031,"Block Group 1, Census Tract 1014.03, Arlington County, Virginia",889,138,388,95,322,102,66,57,0,12,0,12,0,12,0,12,0,12,501,123,337,118,132,65,32,49,0,12,0,12,0,12,0,12
1500000US510131014032,510131014032,"Block Group 2, Census Tract 1014.03, Arlington County, Virginia",282,71,205,78,146,84,59,40,0,12,0,12,0,12,0,12,0,12,77,68,0,12,77,68,0,12,0,12,0,12,0,12,0,12
1500000US510131014033,510131014033,"Block Group 3, Census Tract 1014.03, Arlington County, Virginia",1115,172,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1115,172,592,168,335,135,188,112,0,12,0,12,0,12,0,12
1500000US510131014034,510131014034,"Block Group 4, Census Tract 1014.03, Arlington County, Virginia",1121,281,273,96,186,95,87,50,0,12,0,12,0,12,0,12,0,12,848,278,526,281,217,104,49,39,56,75,0,12,0,12,0,12
1500000US510131014041,510131014041,"Block Group 1, Census Tract 1014.04, Arlington County, Virginia",2517,164,851,158,616,162,161,75,74,64,0,12,0,12,0,12,0,12,1666,218,899,245,696,166,59,46,0,12,12,21,0,12,0,12
1500000US510131015001,510131015001,"Block Group 1, Census Tract 1015, Arlington County, Virginia",673,100,139,54,45,35,35,32,42,39,8,16,9,15,0,12,0,12,534,98,311,84,156,70,54,43,13,20,0,12,0,12,0,12
1500000US510131015002,510131015002,"Block Group 2, Census Tract 1015, Arlington County, Virginia",630,119,242,58,32,34,49,44,67,55,70,57,24,38,0,12,0,12,388,123,216,100,147,86,25,30,0,12,0,12,0,12,0,12
1500000US510131015003,510131015003,"Block Group 3, Census Tract 1015, Arlington County, Virginia",620,141,184,58,89,54,39,37,0,12,14,24,19,32,23,31,0,12,436,130,181,109,227,112,0,12,28,41,0,12,0,12,0,12
1500000US510131015004,510131015004,"Block Group 4, Census Tract 1015, Arlington County, Virginia",436,77,287,74,27,31,127,64,39,38,49,41,45,33,0,12,0,12,149,83,14,22,65,46,0,12,70,71,0,12,0,12,0,12
1500000US510131015005,510131015005,"Block Group 5, Census Tract 1015, Arlington County, Virginia",330,48,229,51,53,37,78,53,18,29,67,50,13,23,0,12,0,12,101,47,0,12,63,33,0,12,27,30,11,17,0,12,0,12
1500000US510131015006,510131015006,"Block Group 6, Census Tract 1015, Arlington County, Virginia",849,116,228,79,128,72,82,56,0,12,18,28,0,12,0,12,0,12,621,119,293,106,188,88,112,82,28,36,0,12,0,12,0,12
1500000US510131016011,510131016011,"Block Group 1, Census Tract 1016.01, Arlington County, Virginia",350,73,251,84,110,60,68,38,20,24,53,66,0,12,0,12,0,12,99,52,42,39,39,32,7,11,6,9,5,8,0,12,0,12
1500000US510131016012,510131016012,"Block Group 2, Census Tract 1016.01, Arlington County, Virginia",304,72,121,55,76,60,45,34,0,12,0,12,0,12,0,12,0,12,183,58,56,34,62,43,27,24,38,36,0,12,0,12,0,12
1500000US510131016021,510131016021,"Block Group 1, Census Tract 1016.02, Arlington County, Virginia",608,90,260,81,205,72,35,35,9,14,11,19,0,12,0,12,0,12,348,92,166,73,167,79,15,23,0,12,0,12,0,12,0,12
1500000US510131016022,510131016022,"Block Group 2, Census Tract 1016.02, Arlington County, Virginia",379,84,157,64,96,67,51,41,10,19,0,12,0,12,0,12,0,12,222,70,122,64,59,42,11,20,30,32,0,12,0,12,0,12
1500000US510131016031,510131016031,"Block Group 1, Census Tract 1016.03, Arlington County, Virginia",476,105,154,80,119,71,35,49,0,12,0,12,0,12,0,12,0,12,322,101,157,90,165,86,0,12,0,12,0,12,0,12,0,12
1500000US510131016032,510131016032,"Block Group 2, Census Tract 1016.03, Arlington County, Virginia",1022,155,264,103,108,74,119,70,37,38,0,12,0,12,0,12,0,12,758,146,351,122,337,103,70,45,0,12,0,12,0,12,0,12
1500000US510131016033,510131016033,"Block Group 3, Census Tract 1016.03, Arlington County, Virginia",345,98,57,42,15,24,42,34,0,12,0,12,0,12,0,12,0,12,288,93,71,60,118,82,30,36,69,91,0,12,0,12,0,12
1500000US510131017011,510131017011,"Block Group 1, Census Tract 1017.01, Arlington County, Virginia",319,127,40,33,40,33,0,12,0,12,0,12,0,12,0,12,0,12,279,126,60,53,88,62,0,12,78,67,0,12,53,89,0,12
1500000US510131017012,510131017012,"Block Group 2, Census Tract 1017.01, Arlington County, Virginia",597,169,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,597,169,245,103,297,140,35,30,20,21,0,12,0,12,0,12
1500000US510131017013,510131017013,"Block Group 3, Census Tract 1017.01, Arlington County, Virginia",70,33,70,33,49,30,8,17,13,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510131017014,510131017014,"Block Group 4, Census Tract 1017.01, Arlington County, Virginia",554,128,257,99,120,71,118,83,0,12,19,30,0,12,0,12,0,12,297,113,152,90,109,69,12,19,24,41,0,12,0,12,0,12
1500000US510131017021,510131017021,"Block Group 1, Census Tract 1017.02, Arlington County, Virginia",1075,204,179,84,146,80,33,35,0,12,0,12,0,12,0,12,0,12,896,207,569,194,238,137,17,29,72,69,0,12,0,12,0,12
1500000US510131017022,510131017022,"Block Group 2, Census Tract 1017.02, Arlington County, Virginia",573,148,298,88,209,86,84,61,5,14,0,12,0,12,0,12,0,12,275,135,167,116,60,51,48,65,0,12,0,12,0,12,0,12
1500000US510131017023,510131017023,"Block Group 3, Census Tract 1017.02, Arlington County, Virginia",890,196,353,140,125,88,172,113,9,18,47,43,0,12,0,12,0,12,537,148,223,131,245,145,26,32,43,71,0,12,0,12,0,12
1500000US510131017031,510131017031,"Block Group 1, Census Tract 1017.03, Arlington County, Virginia",551,114,154,96,129,92,0,12,25,32,0,12,0,12,0,12,0,12,397,125,242,116,95,62,60,65,0,12,0,12,0,12,0,12
1500000US510131017032,510131017032,"Block Group 2, Census Tract 1017.03, Arlington County, Virginia",753,133,259,77,179,73,80,34,0,12,0,12,0,12,0,12,0,12,494,125,228,103,258,104,8,15,0,12,0,12,0,12,0,12
1500000US510131018011,510131018011,"Block Group 1, Census Tract 1018.01, Arlington County, Virginia",1257,259,532,160,173,79,292,118,16,20,42,43,9,15,0,12,0,12,725,190,415,144,247,103,31,33,24,30,8,13,0,12,0,12
1500000US510131018021,510131018021,"Block Group 1, Census Tract 1018.02, Arlington County, Virginia",762,144,182,72,85,51,97,52,0,12,0,12,0,12,0,12,0,12,580,159,352,150,167,97,0,12,61,84,0,12,0,12,0,12
1500000US510131018022,510131018022,"Block Group 2, Census Tract 1018.02, Arlington County, Virginia",772,188,330,128,101,82,199,94,30,45,0,12,0,12,0,12,0,12,442,125,162,81,269,104,0,12,0,12,11,19,0,12,0,12
1500000US510131018023,510131018023,"Block Group 3, Census Tract 1018.02, Arlington County, Virginia",686,155,64,83,0,12,64,83,0,12,0,12,0,12,0,12,0,12,622,140,338,126,171,81,20,36,93,85,0,12,0,12,0,12
1500000US510131018024,510131018024,"Block Group 4, Census Tract 1018.02, Arlington County, Virginia",437,138,37,41,21,34,16,24,0,12,0,12,0,12,0,12,0,12,400,134,56,68,49,63,110,98,81,66,55,54,49,58,0,12
1500000US510131018025,510131018025,"Block Group 5, Census Tract 1018.02, Arlington County, Virginia",505,113,82,51,45,54,37,43,0,12,0,12,0,12,0,12,0,12,423,101,259,84,117,80,13,21,34,46,0,12,0,12,0,12
